Date,ticker,instrument,open,high,low,close,volume
2016-02-08,IBM,IBM,120.46,121.9,118.67,121.4,7702744
2016-02-09,IBM,IBM,120.57,121.35,118.33,118.61,6231231
2016-02-10,IBM,IBM,119.5,119.78,114.57,114.9,6766679
2016-02-11,IBM,IBM,113.56,114.4,111.76,112.67,7643750
2016-02-12,IBM,IBM,114.02,115.73,113.15,115.72,5163579
2016-02-16,IBM,IBM,116.47,117.68,116.0,117.34,4248224
2016-02-17,IBM,IBM,118.27,121.0,117.83,120.55,5042766
2016-02-18,IBM,IBM,124.28,128.11,124.04,126.63,10409374
2016-02-19,IBM,IBM,126.54,127.77,125.09,127.23,5361064
2016-02-22,IBM,IBM,127.23,128.4,126.59,127.89,4662440
2016-02-23,IBM,IBM,127.28,127.54,126.2,126.58,3597926
2016-02-24,IBM,IBM,125.76,127.62,123.98,126.96,4312240
2016-02-25,IBM,IBM,127.43,128.59,125.12,128.59,4558782
2016-02-26,IBM,IBM,128.59,128.99,126.15,126.22,4587965
2016-02-29,IBM,IBM,126.2,127.5,125.14,125.27,4631688
2016-03-01,IBM,IBM,126.42,128.72,126.22,128.46,3962771
2016-03-02,IBM,IBM,127.82,131.4,127.36,130.31,5457191
2016-03-03,IBM,IBM,131.19,131.89,130.09,131.74,5393594
2016-03-04,IBM,IBM,131.49,133.29,130.99,131.74,4150946
2016-03-07,IBM,IBM,131.24,134.33,130.85,133.99,5408866
2016-03-08,IBM,IBM,133.57,134.18,131.38,132.95,5835739
2016-03-09,IBM,IBM,133.18,135.92,133.11,134.24,4609199
2016-03-10,IBM,IBM,135.03,135.25,132.02,134.02,4205548
2016-03-11,IBM,IBM,135.5,136.63,134.33,136.1,4625307
2016-03-14,IBM,IBM,135.76,136.89,134.84,136.5,4235045
2016-03-15,IBM,IBM,135.51,137.03,135.32,136.67,3878045
2016-03-16,IBM,IBM,136.35,138.51,135.86,138.42,4416107
2016-03-17,IBM,IBM,138.41,140.84,138.1,140.57,6089394
2016-03-18,IBM,IBM,140.92,141.02,139.11,140.62,12645826
2016-03-21,IBM,IBM,140.82,142.17,140.27,142.09,3892794
